coin_symbol,PC1,PC2,PC3,PC4,PC5
LTC,-0.5892867018300718,-0.8518853030595281,0.6644786392658355,-1.1597142793097786,-0.23158612295523825
MANA,-0.07676237629317006,-0.019269214891624815,0.34440677205045794,-0.5648813639342298,-0.6859386750629086
MED,-1.63683494067234,-1.4466655439603762,-1.085890148812809,-0.7416070283243787,0.4067854335775814
NEAR,2.1025575747631935,0.2541097878247375,0.5009049710343194,0.3800094434490877,-0.17086512756846278
NEO,1.4488580264667905,0.5513224092869408,-0.05089955757606248,-0.3524283948680839,-0.2613692356669859
NMR,-0.6494421843544849,-0.7285749994397549,-2.15102156450815,0.9686416480037612,0.9716568113404929
OKB,1.3497001182068236,-0.4969010027650012,1.4986994866927583,-0.010017330935499504,-0.3175444200113752
ONGAS,-1.0843815036244453,0.07031910727659271,0.13916799875736782,-0.4985379108432715,-0.046719869713351535
OST,-4.98257393356996,1.1782267070933137,-2.75060283157723,0.2750927251743763,1.067256390118355
POWR,1.6467698939932478,0.26904742745900795,-1.391508273395551,1.827187103068015,-0.9416707242789227
QNT,0.6561829377941277,-0.9321333169219872,1.3942338821400513,-0.6808764975817293,-0.17970104517447605
QRL,-3.2975496511644002,0.7340392450990212,1.1403369026302075,-1.688554055655538,1.3855719623887752
REQ,-0.11922818595471721,-0.5803195846708931,-0.5315021452773433,0.5264268297756193,-0.39178553878503203
RNDR,-0.7841309278876007,-0.29488965267936057,1.207418699598597,-1.2288241916778022,0.11488494620349443
RVN,1.2647937980185777,-0.09733509168840138,-0.1623387111900849,0.659112871359326,-0.2582611273314568
SALT,-1.1693761726692993,-1.1519727610207975,-0.7017196531568629,0.016124072490250538,-0.42985000713326876
SC,0.8102461301463723,-0.06872400813480133,-0.4034966181004042,-0.17693473365251308,-0.9479186960926679
SHIB,1.847399472529586,0.2345784689287774,0.3780353637616796,0.7310261767734672,0.11749923992897442
SNT,0.914384984091292,0.09345530346654389,-1.9947587424585396,2.3617943859533677,-1.4518067389881644
SNX,1.2383131686487,0.030956549922639524,0.3363891862827159,-0.32892018107251375,-0.23739539816218727
SOL,1.9662643429896782,0.27160192054373694,1.7855030990803975,-1.9249216338220947,0.03983873410897339
STEEM,0.6625064011321551,0.6482702525551757,-1.2823333051108283,0.634689286800272,-0.8041364231224273
STRAX,1.2337909493239678,0.5603018909712875,-0.4103618798235522,-0.31338491565827503,-0.7569096903220282
TEL,0.9966173382627328,-0.16151694336062555,-0.9508861771200565,0.5263564054388077,-0.7716580466093993
THETA,1.5937486415119844,0.2532304248028324,0.4124080096210047,-0.3877801338479271,0.17295298758117547
TRAC,0.2996591691461091,-0.5239634606106871,-0.07239514529304572,-0.5487945862565115,-0.6243975330447634
TRB,1.5567210589673643,-0.1103868807479093,0.6117871851417352,-0.0667845327042555,-0.3243958163478517
TRX,0.782321119410121,0.14987145260395743,0.41033133512237413,-0.971959739603787,-0.10449508571981485
UNI,2.076295694585005,-0.15584798261523702,0.4483355409180404,1.1308194457417962,0.0851094126088611
USD,-3.990459971337263,-9.050585825706301,5.515718415053207,5.906050896909174,2.473932045139822
VET,-2.3658250816207604,0.20877799920033582,0.38643902408063013,-2.134461544778215,-1.4481706666458263
VIBE,-0.7564245815882261,-0.41385656662542697,-0.7831608791990771,-0.22089988243518083,-0.9636113938535754
VOLUME,-3.9268724451381227,0.7604703643762585,1.6294372294278867,-1.4664072796523404,-0.5104416881968992
VSYS,0.3618301234439477,-0.37477983834205536,-1.0140989015747446,1.2785664397820578,-0.6312138672111116
WAVES,1.6867118254282056,0.6470858219373141,0.248078666096206,-0.5466264485185903,-0.06482845926403888
WAXP,1.6764507515563636,0.39851813022921345,-0.7531223613363819,1.3341294758649027,-1.102032320704041
WTC,-1.6804736998063023,0.7274337978578378,-0.18640271206672396,0.09203426407571805,-0.6074186294319958
XLM,-0.42116784664970713,-0.9284361254910646,0.914253701230785,-1.0174393190847824,-0.08977111022048374
XMR,1.8906470285181496,-0.16097399747109895,1.2843802697950726,-0.5294807643071366,0.013868840816603289
XRP,0.07307328752761602,-1.0363772751611273,1.1056582898119247,-0.7731970958606916,0.2845136349677314
ZEC,-0.5567570987278316,0.16106344960160254,-3.6628923419809896,-0.23576734087573206,3.3259919713399713
ZIL,2.1144540684691933,1.277041918204164,2.966404817009705,-2.8044582036519756,7.40433995798561
ZRX,0.46191795080045267,-0.3733225695415223,-0.05782617209525229,0.09737255491870457,-0.11206984562700763
