# Dataset Report: Modum (MOD)
# Coin Name: Modum
# Symbol: MOD
# Base Currency: BTC
# Approx Row Count: 1693
# Date Range: 2021-06-29 to 2026-02-15
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_MOD, Volume_BTC
# Note: Launched 2017. Swiss IoT/Supply chain project. Legacy data paired with BTC.
# --------------------------------------------------
Date,open,high,low,close,Volume_MOD,Volume_BTC
2022-04-18,1.316e-05,1.321e-05,1.243e-05,1.247e-05,20468.55,0.2619
2022-04-19,1.247e-05,1.25e-05,1.229e-05,1.234e-05,9433.05,0.1168
2022-04-20,1.234e-05,1.265e-05,1.233e-05,1.255e-05,13549.73,0.1695
2022-04-21,1.255e-05,1.295e-05,1.244e-05,1.281e-05,17235.13,0.2188
2022-04-22,1.281e-05,1.33e-05,1.275e-05,1.329e-05,19460.76,0.2523
2022-04-23,1.329e-05,1.336e-05,1.315e-05,1.319e-05,3537.22,0.04685
2022-04-24,1.319e-05,1.32e-05,1.285e-05,1.291e-05,8958.15,0.1168
2022-04-25,1.291e-05,1.318e-05,1.266e-05,1.267e-05,18147.73,0.2352
2022-04-26,1.267e-05,1.32e-05,1.263e-05,1.312e-05,15359.19,0.1991
2022-04-27,1.312e-05,1.316e-05,1.28e-05,1.282e-05,12893.16,0.167
2022-04-28,1.282e-05,1.29e-05,1.26e-05,1.264e-05,13916.21,0.1773
2022-04-29,1.264e-05,1.296e-05,1.261e-05,1.286e-05,7817.34,0.1001
2022-04-30,1.286e-05,1.291e-05,1.241e-05,1.262e-05,9614.28,0.1208
2022-05-01,1.262e-05,1.279e-05,1.243e-05,1.27e-05,12762.15,0.1612
2022-05-02,1.27e-05,1.27e-05,1.237e-05,1.249e-05,10829.67,0.1355
2022-05-03,1.249e-05,1.26e-05,1.245e-05,1.257e-05,2981.68,0.03733
2022-05-04,1.257e-05,1.257e-05,1.217e-05,1.245e-05,15162.41,0.1873
2022-05-05,1.245e-05,1.305e-05,1.233e-05,1.286e-05,15964.74,0.203
2022-05-06,1.286e-05,1.291e-05,1.262e-05,1.272e-05,17340.27,0.2214
2022-05-07,1.272e-05,1.293e-05,1.263e-05,1.263e-05,8991.38,0.1149
2022-05-08,1.263e-05,1.296e-05,1.261e-05,1.272e-05,18234.17,0.2333
2022-05-09,1.272e-05,1.336e-05,1.265e-05,1.336e-05,41513.57,0.5402
2022-05-10,1.336e-05,1.352e-05,1.275e-05,1.315e-05,51053.83,0.6738
2022-05-11,1.315e-05,1.326e-05,1.202e-05,1.205e-05,48045.84,0.6051
2022-05-12,1.205e-05,1.227e-05,1.111e-05,1.111e-05,64799.71,0.7617
2022-05-13,1.111e-05,1.129e-05,1.081e-05,1.129e-05,21044.3,0.2326
2022-05-14,1.129e-05,1.129e-05,1.071e-05,1.073e-05,14477.37,0.1591
2022-05-15,1.073e-05,1.089e-05,1.041e-05,1.041e-05,19776.91,0.2111
2022-05-16,1.041e-05,1.099e-05,1.04e-05,1.089e-05,16699.18,0.1793
2022-05-17,1.089e-05,1.099e-05,1.07e-05,1.077e-05,9378.08,0.1017
2022-05-18,1.077e-05,1.121e-05,1.075e-05,1.108e-05,11451.58,0.1263
2022-05-19,1.108e-05,1.126e-05,1.052e-05,1.052e-05,23708.21,0.2586
2022-05-20,1.052e-05,1.09e-05,1.042e-05,1.075e-05,10722.62,0.1139
2022-05-21,1.075e-05,1.079e-05,1.065e-05,1.069e-05,2435.91,0.02614
2022-05-22,1.069e-05,1.069e-05,9.3e-06,9.36e-06,25997.95,0.2559
