# Dataset Report: Ambrosus (AMB)
# Coin Name: Ambrosus
# Symbol: AMB
# Approx Row Count: 3085
# Date Range: 2017-09-05 to 2026-02-14
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_AMB, Volume_USD
# Note: Launched 2017. Supply chain IoT protocol, now part of AirDAO ecosystem.
# --------------------------------------------------
Date,open,high,low,close,Volume_AMB,Volume_USD
2022-10-15,0.01324,0.01354,0.01297,0.01316,57222985.9,752946.16
2022-10-16,0.01316,0.01368,0.01252,0.01271,46183698.56,587198.55
2022-10-17,0.01271,0.0129,0.01193,0.01251,50140021.14,627367.67
2022-10-18,0.01251,0.0145,0.01218,0.0143,297745068.24,4259068.9
2022-10-19,0.0143,0.01415,0.01224,0.01243,59581240.1,740626.3
2022-10-20,0.01243,0.01314,0.01181,0.01295,40125405.93,519608.25
2022-10-21,0.01295,0.01303,0.0115,0.01246,49772396.15,620072.47
2022-10-22,0.01246,0.01268,0.0121,0.01229,12571558.96,154540.22
2022-10-23,0.01051,0.01091,0.009072,0.009072,3916.0,35.53
2022-10-24,0.01331,0.01334,0.01218,0.01237,28007946.9,346510.91
2022-10-25,0.01237,0.01366,0.01265,0.01326,37884874.77,502260.2
2022-10-26,0.01326,0.01517,0.0135,0.01371,70209086.84,962753.45
2022-10-27,0.01371,0.014,0.01299,0.01319,56047642.39,739376.69
2022-10-28,0.01319,0.01339,0.01298,0.01298,16937882.45,219818.66
2022-10-29,0.01298,0.01416,0.01312,0.01395,55798971.32,778369.27
2022-10-30,0.01395,0.01506,0.01341,0.01403,46311425.41,649695.67
2022-10-31,0.01403,0.01393,0.01332,0.01353,21727165.46,293861.86
2022-11-01,0.01353,0.01393,0.01331,0.01372,20670193.29,283631.86
2022-11-02,0.01372,0.01552,0.0131,0.0135,137860968.14,1861222.48
2022-11-03,0.0135,0.01738,0.01334,0.01495,103192375.45,1543129.76
2022-11-04,0.01495,0.01692,0.01459,0.01523,41376080.13,630092.82
2022-11-05,0.01523,0.01598,0.0147,0.0147,26496990.99,389454.98
2022-11-06,0.0147,0.01652,0.01422,0.01443,83135679.28,1199507.11
2022-11-07,0.01443,0.01545,0.014,0.01503,40673030.74,611454.87
2022-11-08,0.01437,0.01222,0.0103,0.01037,4272.0,44.29
2022-11-09,0.0115,0.009967,0.008543,0.009017,81455301.55,734515.96
2022-11-10,0.009017,0.01106,0.009833,0.01089,34789368.94,378751.7
2022-11-11,0.01089,0.01123,0.01003,0.01071,43698839.44,468227.1
2022-11-12,0.01071,0.01057,0.009561,0.009561,19258967.19,184137.35
2022-11-13,0.009561,0.009784,0.009132,0.009458,19649284.76,185849.47
2022-11-14,0.009458,0.009955,0.008628,0.009623,31938826.97,307359.57
2022-11-15,0.009623,0.0108,0.009621,0.00979,92271782.82,903331.64
2022-11-16,0.00979,0.01115,0.009489,0.01016,93907422.47,953659.03
2022-11-17,0.01016,0.01134,0.009675,0.01017,91297047.45,928940.89
2022-11-18,0.01017,0.01067,0.00984,0.01017,44562640.6,453360.23
2022-11-19,0.01017,0.01235,0.009843,0.01235,99701693.41,1230912.4
2022-11-20,0.01148,0.01876,0.01049,0.01164,21748.0,253.24
2022-11-21,0.01154,0.01355,0.0104,0.0134,171086167.06,2291897.92
2022-11-22,0.01129,0.01423,0.01162,0.01423,51796.0,737.23
2022-11-23,0.0128,0.01394,0.01278,0.01344,63865359.96,858267.02
2022-11-24,0.01344,0.0146,0.01277,0.01393,60151734.68,838172.7
2022-11-25,0.01393,0.01469,0.01288,0.0137,86554674.91,1185964.7
2022-11-26,0.0137,0.01464,0.01316,0.01365,79551508.23,1086257.54
2022-11-27,0.01365,0.01527,0.0133,0.01412,92840187.9,1311084.32
2022-11-28,0.01412,0.0141,0.01297,0.01361,69148476.14,941379.64
2022-11-29,0.01361,0.01413,0.01331,0.01364,34014194.37,463898.7
2022-11-30,0.01364,0.01493,0.01407,0.01442,65805140.96,948671.52
2022-12-01,0.01418,0.01398,0.01335,0.01335,955.0,12.75
2022-12-02,0.01341,0.01402,0.01316,0.0135,28244057.97,381426.04
2022-12-03,0.0135,0.01368,0.01165,0.01233,61840378.23,762397.02
2022-12-04,0.01233,0.01335,0.01215,0.01266,46267238.78,585868.28
2022-12-05,0.01266,0.01273,0.01205,0.01256,18466539.41,231855.93
2022-12-06,0.01256,0.01281,0.0123,0.0123,14178762.07,174431.31
2022-12-07,0.0123,0.01246,0.01179,0.01195,18270008.6,218415.64
2022-12-08,0.01195,0.01257,0.01171,0.01206,13642418.73,164503.2
2022-12-09,0.01206,0.01216,0.01165,0.01182,10062308.35,118911.6
2022-12-10,0.01182,0.01285,0.01182,0.0125,38429235.08,480531.02
2022-12-11,0.0125,0.01282,0.01197,0.01265,19404256.41,245467.22
2022-12-12,0.0123,0.01462,0.01242,0.01416,14401.0,203.87
2022-12-13,0.01394,0.01458,0.01191,0.01244,109752798.97,1365623.79
2022-12-14,0.01244,0.01282,0.0121,0.01282,29229785.28,374637.76
2022-12-15,0.01282,0.01337,0.01215,0.01285,56787664.07,729483.85
2022-12-16,0.01293,0.01192,0.0108,0.0108,17660.0,190.77
2022-12-17,0.01099,0.01141,0.01074,0.01124,22160357.06,249148.2
2022-12-18,0.01124,0.01155,0.01105,0.01139,9375470.71,106740.33
2022-12-19,0.01139,0.01151,0.01085,0.01102,12232482.95,134761.22
2022-12-20,0.01102,0.012,0.01132,0.01183,16470705.49,194861.36
2022-12-21,0.01183,0.01194,0.01161,0.01177,10892332.2,128254.94
2022-12-22,0.01177,0.01244,0.01177,0.01228,15426791.85,189374.47
2022-12-23,0.01228,0.01242,0.01191,0.01225,15176704.18,185916.27
2022-12-24,0.01225,0.0128,0.01229,0.01263,10877336.48,137357.59
2022-12-25,0.01263,0.01313,0.01229,0.01245,21765773.55,271060.8
2022-12-26,0.01245,0.01269,0.01201,0.01218,16293966.72,198453.51
2022-12-27,0.01218,0.01219,0.01186,0.01219,7856298.06,95779.23
2022-12-28,0.01219,0.01241,0.01141,0.01158,19249864.08,222881.26
2022-12-29,0.01158,0.01247,0.01148,0.01197,18735545.75,224348.66
2022-12-30,0.01197,0.01195,0.01145,0.01145,6033766.42,69108.55
2022-12-31,0.01145,0.01174,0.01141,0.01157,5449120.66,63056.77
2023-01-01,0.01157,0.01196,0.01163,0.01196,6469109.76,77383.4
2023-01-02,0.01196,0.01234,0.01184,0.01217,11353810.47,138166.32
2023-01-03,0.01217,0.01267,0.01217,0.01234,15045360.89,185598.34
2023-01-04,0.01234,0.0128,0.0123,0.01264,10291333.5,130032.18
2023-01-05,0.01264,0.01296,0.01228,0.01262,11573218.05,146047.1
2023-01-06,0.01262,0.01407,0.01237,0.01339,35484415.27,475046.42
2023-01-07,0.01339,0.01372,0.01254,0.01305,22501670.58,293554.59
2023-01-08,0.01305,0.01335,0.01284,0.01301,12520350.09,162864.91
2023-01-09,0.01301,0.01512,0.01306,0.01426,107243606.16,1529143.14
2023-01-10,0.01426,0.01465,0.01361,0.01378,23570554.2,324791.1
2023-01-11,0.01378,0.01579,0.01363,0.01417,105822389.3,1499611.2
2023-01-12,0.01417,0.01546,0.01433,0.01508,63355961.43,955357.21
2023-01-13,0.01508,0.01674,0.01555,0.01614,43930585.54,709257.57
2023-01-14,0.01476,0.01673,0.01576,0.01673,14644.0,244.92
2023-01-15,0.01634,0.01649,0.01545,0.01545,36161980.55,558717.63
2023-01-16,0.01545,0.01695,0.01568,0.01632,68925234.71,1124547.49
2023-01-17,0.01632,0.01733,0.01606,0.01691,47466857.83,802612.16
2023-01-18,0.01691,0.01716,0.01427,0.01468,51518364.24,756377.87
2023-01-19,0.01468,0.0156,0.01497,0.01518,14992968.53,227581.89
2023-01-20,0.01518,0.01655,0.01587,0.0161,14808406.83,238416.86
2023-01-21,0.0161,0.01709,0.01573,0.01595,28841711.24,460110.2
2023-01-22,0.01595,0.01863,0.0159,0.01726,90057516.58,1554698.25
2023-01-23,0.01726,0.01833,0.01673,0.01719,45409330.0,780500.22
2023-01-24,0.01719,0.01743,0.01585,0.01607,23606483.7,379423.19
2023-01-25,0.01607,0.01753,0.01638,0.0173,17937656.0,310316.25
2023-01-26,0.0173,0.01749,0.01634,0.0168,24970700.37,419424.85
2023-01-27,0.0168,0.01823,0.01639,0.018,53478201.5,962642.12
2023-01-28,0.018,0.01819,0.01704,0.0175,22664163.37,396703.89
2023-01-29,0.0175,0.01805,0.01734,0.01781,13973862.82,248880.72
2023-01-30,0.01781,0.01713,0.01598,0.01598,31205758.79,498772.19
2023-01-31,0.01598,0.01665,0.01596,0.01619,12015202.18,194535.62
2023-02-01,0.01619,0.01685,0.0159,0.01661,21364125.97,354887.27
2023-02-02,0.01661,0.01737,0.01619,0.01666,21134604.65,352192.72
2023-02-03,0.01666,0.01734,0.01641,0.01734,16261447.09,282030.98
2023-02-04,0.01734,0.0175,0.01657,0.0168,15588851.71,261878.87
2023-02-05,0.0168,0.01973,0.01629,0.01904,124874109.9,2377709.91
2023-02-06,0.01904,0.02003,0.01753,0.01821,65840824.33,1198905.58
2023-02-07,0.01821,0.02093,0.01837,0.02,66537139.19,1330569.18
2023-02-08,0.02,0.02044,0.0186,0.01929,45794519.31,883254.89
2023-02-09,0.01929,0.02072,0.01701,0.01766,122015825.49,2155301.63
2023-02-10,0.01766,0.01817,0.01688,0.01774,62231077.77,1104015.74
2023-02-11,0.01774,0.0188,0.01749,0.01858,26070146.36,484457.92
2023-02-12,0.01858,0.02179,0.01852,0.01939,74105003.12,1437134.97
2023-02-13,0.01939,0.01961,0.01656,0.01678,60608993.27,1016811.8
2023-02-14,0.01678,0.01777,0.01688,0.0171,31109502.08,531990.88
2023-02-15,0.0171,0.01971,0.01874,0.01898,38591774.58,732438.07
2023-02-16,0.01898,0.01906,0.01741,0.01765,54967674.29,970174.78
2023-02-17,0.01765,0.01917,0.01843,0.01893,24817051.95,469669.55
2023-02-18,0.01893,0.02267,0.01873,0.01996,116028090.98,2315572.46
2023-02-19,0.01996,0.02137,0.01967,0.02016,57405314.39,1157213.64
2023-02-20,0.02016,0.0226,0.02012,0.02186,74099577.1,1619632.93
2023-02-21,0.02186,0.02421,0.02005,0.02176,156144613.2,3397854.34
2023-02-22,0.02176,0.02491,0.02032,0.02346,138625759.17,3252342.24
2023-02-23,0.02346,0.02586,0.0225,0.02466,76856275.98,1895224.5
2023-02-24,0.02466,0.0262,0.02203,0.02458,87178503.95,2142949.35
2023-02-25,0.02458,0.02549,0.02155,0.0234,39911114.81,933934.73
2023-02-26,0.0234,0.02521,0.02332,0.02356,22964056.57,540970.94
2023-02-27,0.02356,0.02373,0.02114,0.02138,27749129.94,593234.85
2023-02-28,0.02138,0.02429,0.02059,0.02175,47032514.67,1022909.98
2023-03-01,0.02175,0.03003,0.02222,0.02908,120197369.85,3495416.92
2023-03-02,0.02666,0.02638,0.02623,0.02623,955.0,25.05
2023-03-03,0.02511,0.02594,0.02124,0.02191,122564164.32,2685834.52
2023-03-04,0.02191,0.02235,0.01788,0.01945,75720515.3,1472560.34
2023-03-05,0.01945,0.02064,0.01884,0.01974,46710343.68,922155.57
2023-03-06,0.01974,0.02017,0.01838,0.01995,47671727.79,950841.36
2023-03-07,0.01995,0.01976,0.01843,0.01887,33336056.79,629092.19
2023-03-08,0.01887,0.01867,0.01628,0.01671,30868614.96,515896.35
2023-03-09,0.01671,0.01691,0.01507,0.01548,51926735.06,803907.11
2023-03-10,0.01548,0.01596,0.01435,0.01536,38507628.37,591365.48
2023-03-11,0.01536,0.01587,0.01422,0.01484,36209728.7,537417.26
2023-03-12,0.01484,0.01664,0.01553,0.01642,30485535.71,500448.89
2023-03-13,0.01642,0.0184,0.01646,0.01719,43594590.14,749262.01
2023-03-14,0.01719,0.01832,0.01659,0.01807,33577315.1,606843.45
2023-03-15,0.01807,0.01852,0.01633,0.01682,59921449.39,1007684.39
2023-03-16,0.01682,0.01879,0.01653,0.01728,101671595.52,1757330.77
2023-03-17,0.01728,0.01921,0.01729,0.01784,31821316.21,567594.16
2023-03-18,0.01784,0.01834,0.01618,0.01645,32076362.79,527778.4
2023-03-19,0.01645,0.01738,0.01542,0.0157,51733810.95,812353.39
2023-03-20,0.0157,0.01585,0.01335,0.0139,86440823.54,1201832.15
2023-03-21,0.0139,0.01438,0.01325,0.01353,68428803.77,925861.75
2023-03-22,0.01802,0.01734,0.01155,0.01155,1986.0,22.93
2023-03-23,0.01257,0.01417,0.01304,0.01389,58636383.61,814423.78
2023-03-24,0.01389,0.01375,0.01265,0.01292,22334134.13,288595.31
2023-03-25,0.01292,0.01347,0.01292,0.0132,13703380.38,180837.46
