# Dataset Report: Enjin Coin (ENJ)
# Coin Name: Enjin Coin
# Symbol: ENJ
# Approx Row Count: 3028
# Date Range: 2017-11-01 to 2026-02-14
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_ENJ, Volume_USD
# Note: Gaming & NFT ecosystem token (ERC-1155 pioneer). Migrated to Enjin Blockchain late 2023.
# --------------------------------------------------
Date,open,high,low,close,Volume_ENJ,Volume_USD
2024-07-30,0.1856,0.1904,0.1781,0.181,453059.92,84206.78
2024-07-31,0.181,0.1837,0.1732,0.1746,277197.57,49311.82
2024-08-01,0.1746,0.1773,0.1625,0.1768,378225.93,63852.99
2024-08-02,0.1768,0.1768,0.159,0.1612,453258.26,75021.14
2024-08-03,0.1612,0.1666,0.1511,0.1527,369369.81,58357.64
2024-08-04,0.1527,0.1558,0.1391,0.1451,490912.59,72787.47
2024-08-05,0.1451,0.149,0.1202,0.1368,1841771.12,243859.8
2024-08-06,0.1368,0.1514,0.134,0.136,3134667.52,438998.8
2024-08-07,0.136,0.1411,0.123,0.126,1521587.63,201583.86
2024-08-08,0.126,0.1437,0.1241,0.1428,858621.46,114406.06
2024-08-09,0.1428,0.1434,0.1361,0.14,489402.02,68636.92
2024-08-10,0.14,0.1429,0.1379,0.1411,150376.27,21233.78
2024-08-11,0.1411,0.1431,0.1308,0.1329,262253.36,36063.87
2024-08-12,0.1329,0.1437,0.131,0.139,592405.47,80901.47
2024-08-13,0.139,0.1433,0.136,0.1411,809406.91,111264.3
2024-08-14,0.1411,0.1443,0.1344,0.1362,175274.06,24337.16
2024-08-15,0.1362,0.138,0.129,0.131,400037.25,53687.17
2024-08-16,0.131,0.1343,0.1286,0.1327,75605.44,9928.37
2024-08-17,0.1327,0.1348,0.1292,0.1348,251597.89,33260.97
2024-08-18,0.1348,0.1439,0.132,0.1387,190489.19,26433.35
2024-08-19,0.1387,0.1411,0.1358,0.139,145681.98,20177.6
2024-08-20,0.139,0.1452,0.1386,0.1425,280405.24,39935.68
2024-08-21,0.1425,0.148,0.137,0.146,324425.66,45871.04
2024-08-22,0.146,0.1521,0.1449,0.1499,355165.4,52954.4
2024-08-23,0.1499,0.1645,0.1492,0.1602,760685.06,120491.13
2024-08-24,0.1602,0.1697,0.1585,0.1643,477991.81,79354.85
2024-08-25,0.1643,0.1651,0.1579,0.1616,265965.14,43083.76
2024-08-26,0.1616,0.1631,0.1527,0.153,184465.75,29046.46
2024-08-27,0.153,0.157,0.1399,0.143,197233.33,29549.06
2024-08-28,0.143,0.1482,0.1379,0.1419,498791.13,71277.18
2024-08-29,0.1419,0.149,0.14,0.1438,812751.97,115965.41
2024-08-30,0.1438,0.146,0.1352,0.144,371108.38,52427.17
2024-08-31,0.144,0.1451,0.1378,0.1385,122969.87,17365.96
2024-09-01,0.1385,0.1396,0.1317,0.132,366989.06,49845.13
2024-09-02,0.132,0.139,0.1318,0.138,209417.68,28627.65
2024-09-03,0.138,0.1429,0.1338,0.1339,436652.74,60721.81
2024-09-04,0.1339,0.1401,0.1288,0.139,509606.86,68725.59
2024-09-05,0.139,0.14,0.1322,0.1341,179934.51,24542.37
2024-09-06,0.1341,0.1391,0.1273,0.1327,471085.54,62818.03
2024-09-07,0.1327,0.134,0.1301,0.133,271654.7,35987.42
2024-09-08,0.133,0.1391,0.1329,0.138,384696.36,52320.55
2024-09-09,0.138,0.1498,0.1369,0.1488,982186.35,142662.13
2024-09-10,0.1488,0.149,0.1445,0.1471,412959.31,60640.11
2024-09-11,0.1471,0.1473,0.137,0.1429,560193.18,78867.48
2024-09-12,0.1429,0.146,0.1411,0.145,454018.26,65276.81
2024-09-13,0.145,0.1519,0.1419,0.1499,690130.38,100515.12
2024-09-14,0.1499,0.151,0.1451,0.147,243638.51,35910.06
2024-09-15,0.147,0.1489,0.136,0.138,503795.98,71662.17
2024-09-16,0.138,0.1389,0.1331,0.1346,256650.64,34678.87
2024-09-17,0.1346,0.1403,0.1331,0.1392,451890.52,62036.15
2024-09-18,0.1392,0.1451,0.1339,0.145,590153.39,81842.89
2024-09-19,0.145,0.1519,0.145,0.1482,411363.49,61009.54
2024-09-20,0.1482,0.1569,0.1472,0.1521,535781.75,81270.91
2024-09-21,0.1521,0.1558,0.1481,0.1551,518950.7,79007.52
2024-09-22,0.1551,0.1557,0.1452,0.151,370797.28,56182.0
2024-09-23,0.151,0.1559,0.1477,0.1551,456513.73,69852.33
2024-09-24,0.1551,0.161,0.1512,0.1601,565301.63,88161.74
2024-09-25,0.1601,0.1649,0.1571,0.158,544997.75,87377.48
2024-09-26,0.158,0.1661,0.1558,0.1659,771558.28,126067.23
2024-09-27,0.1659,0.1759,0.1651,0.1757,762242.94,130947.65
2024-09-28,0.1757,0.1782,0.1675,0.1697,345207.73,59628.25
2024-09-29,0.1697,0.1819,0.1658,0.1781,793891.14,138171.38
2024-09-30,0.1781,0.1829,0.1649,0.1653,477582.08,82985.12
2024-10-01,0.1653,0.1742,0.1442,0.1479,760551.08,121140.44
2024-10-02,0.1479,0.1559,0.139,0.1431,458665.46,67669.62
2024-10-03,0.1431,0.1461,0.136,0.1418,393740.5,55695.95
2024-10-04,0.1418,0.151,0.1404,0.1489,450389.03,66085.35
2024-10-05,0.1489,0.1509,0.1452,0.1487,344620.71,51175.11
2024-10-06,0.1487,0.1509,0.1457,0.1499,136526.23,20281.94
2024-10-07,0.1499,0.1542,0.1479,0.1509,381855.56,58137.51
2024-10-08,0.1509,0.1539,0.146,0.147,498785.52,75395.01
2024-10-09,0.147,0.1503,0.1401,0.1421,222169.86,32373.52
2024-10-10,0.1421,0.1454,0.1372,0.1449,318148.99,45114.39
2024-10-11,0.1449,0.1522,0.1437,0.1507,468199.16,69529.27
2024-10-12,0.1507,0.1544,0.1507,0.1519,229774.32,34946.43
2024-10-13,0.1519,0.1531,0.1461,0.151,396650.27,58872.45
2024-10-14,0.151,0.1601,0.1485,0.1595,250415.22,38856.19
2024-10-15,0.1595,0.1601,0.1502,0.1569,420746.48,66103.12
2024-10-16,0.1569,0.1569,0.1492,0.1518,359401.26,54803.31
2024-10-17,0.1518,0.1526,0.1441,0.1478,353596.86,52256.23
2024-10-18,0.1478,0.1541,0.146,0.1536,463873.83,69410.37
2024-10-19,0.1536,0.1608,0.1527,0.1568,432964.87,67887.27
2024-10-20,0.1568,0.1681,0.155,0.1681,438212.43,70663.52
2024-10-21,0.1681,0.1711,0.1602,0.1614,429560.22,71195.02
2024-10-22,0.1614,0.1661,0.1573,0.1623,463332.05,74637.36
2024-10-23,0.1623,0.163,0.1481,0.154,284602.27,43723.57
2024-10-24,0.154,0.162,0.1511,0.1587,278232.56,43651.32
2024-10-25,0.1587,0.1603,0.1372,0.1429,651634.68,97359.73
2024-10-26,0.1429,0.148,0.139,0.1441,376337.46,54143.02
2024-10-27,0.1441,0.148,0.1412,0.1462,294319.57,42533.85
2024-10-28,0.1462,0.1489,0.1384,0.1479,1055474.94,152318.07
2024-10-29,0.1479,0.1528,0.147,0.1508,380916.66,56821.02
2024-10-30,0.1508,0.1513,0.1461,0.1484,315860.34,47015.32
2024-10-31,0.1484,0.149,0.1381,0.1404,328136.64,47133.35
2024-11-01,0.1404,0.144,0.1363,0.1391,297202.26,41658.94
2024-11-02,0.1391,0.1404,0.134,0.1351,415074.64,56774.2
2024-11-03,0.1351,0.1367,0.1253,0.1307,331506.5,43309.39
2024-11-04,0.1307,0.132,0.124,0.1259,1034330.78,132935.78
2024-11-05,0.1259,0.1352,0.1258,0.1329,1553683.99,202342.45
2024-11-06,0.1329,0.1497,0.1329,0.1485,690767.28,97650.0
2024-11-07,0.1485,0.1527,0.1456,0.1495,803855.21,119869.84
2024-11-08,0.1495,0.1539,0.146,0.1511,624924.1,93644.74
2024-11-09,0.1511,0.1579,0.1492,0.1579,449616.14,69365.3
2024-11-10,0.1579,0.1742,0.1551,0.1666,1724635.55,284599.32
