# Dataset Report: FUNToken (FUN)
# Coin Name: FUNToken
# Symbol: FUN
# Approx Row Count: 3570
# Date Range: 2016-05-08 to 2026-02-14
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_FUN, Volume_USD
# Note: Launched June 2017. Native token for the decentralized iGaming ecosystem.
# --------------------------------------------------
Date,open,high,low,close,Volume_FUN,Volume_USD
2016-11-27,0.0007049,0.0007049,0.0007049,0.0007049,0.0,0.0
2016-11-28,0.005099,0.005126,0.005126,0.005126,110.85,0.5682
2016-11-29,0.005126,0.005121,0.00271,0.005106,289.2,1.477
2016-11-30,0.0007049,0.0007049,0.0007049,0.0007049,0.0,0.0
2016-12-01,0.005123,0.005193,0.005186,0.005186,432.79,2.244
2016-12-02,0.004907,0.005034,0.005027,0.005034,2249.79,11.33
2016-12-03,0.002876,0.002851,0.002461,0.002461,3722.2,9.16
2016-12-04,0.0007049,0.0007049,0.0007049,0.0007049,0.0,0.0
2016-12-05,0.001801,0.001773,0.0004979,0.0004979,6692.18,3.332
2016-12-06,0.0007049,0.0007049,0.0007049,0.0007049,0.0,0.0
2016-12-07,0.003025,0.003055,0.002947,0.003047,287760.18,876.78
2016-12-08,0.0007049,0.0007049,0.0007049,0.0007049,0.0,0.0
2016-12-09,0.003066,0.004238,0.003074,0.00423,3139.27,13.28
2016-12-10,0.002466,0.002477,0.002477,0.002477,31.25,0.0774
2016-12-11,0.0007049,0.0007049,0.0007049,0.0007049,0.0,0.0
2016-12-12,0.002304,0.002335,0.002335,0.002335,96.52,0.2254
2016-12-13,0.002335,0.004034,0.002336,0.003504,514.49,1.803
2016-12-14,0.0007049,0.0007049,0.0007049,0.0007049,0.0,0.0
2016-12-15,0.0007049,0.0007049,0.0007049,0.0007049,0.0,0.0
2016-12-16,0.003481,0.003519,0.002354,0.002354,435.14,1.024
2016-12-17,0.0007049,0.0007049,0.0007049,0.0007049,0.0,0.0
2016-12-18,0.003739,0.003748,0.00374,0.00374,493.3,1.845
2016-12-19,0.003756,0.00432,0.003759,0.003949,820.36,3.24
2016-12-20,0.004312,0.004363,0.004363,0.004363,222.0,0.9686
2016-12-21,0.004363,0.004536,0.004527,0.004527,444.0,2.01
2016-12-22,0.0007049,0.0007049,0.0007049,0.0007049,0.0,0.0
2016-12-23,0.001849,0.007796,0.001954,0.007732,870526.36,6730.69
2016-12-24,0.0007049,0.0007049,0.0007049,0.0007049,0.0,0.0
2016-12-25,0.007405,0.007405,0.007405,0.007405,1500.0,11.11
2016-12-26,0.002237,0.002255,0.002246,0.002246,1003.14,2.253
2016-12-27,0.002246,0.004564,0.002314,0.004564,4421.8,20.18
2016-12-28,0.0007049,0.0007049,0.0007049,0.0007049,0.0,0.0
2016-12-29,0.002061,0.002059,0.002039,0.002039,1848.0,3.769
2016-12-30,0.00202,0.001995,0.0008152,0.0008152,2245.29,1.83
2016-12-31,0.0008823,0.0008863,0.0008863,0.0008863,157679.08,139.75
2017-01-01,0.0007049,0.0007049,0.0007049,0.0007049,0.0,0.0
2017-01-02,0.001493,0.001526,0.0009459,0.0009459,112304.54,106.22
2017-01-03,0.0007049,0.0007049,0.0007049,0.0007049,0.0,0.0
2017-01-04,0.002015,0.002214,0.001817,0.001817,50250.0,91.29
2017-01-05,0.001817,0.002968,0.0004254,0.0004254,30922.45,13.16
2017-01-06,0.001959,0.001772,0.001755,0.001763,181800.0,320.6
2017-01-07,0.0007049,0.0007049,0.0007049,0.0007049,0.0,0.0
2017-01-08,0.0004889,0.004,0.0004504,0.002703,37727.27,101.96
2017-01-09,0.002297,0.002663,0.002294,0.002663,25811.47,68.74
2017-01-10,0.0005219,0.002596,0.0005245,0.002596,5118.92,13.29
2017-01-11,0.0007049,0.0007049,0.0007049,0.0007049,0.0,0.0
2017-01-12,0.002042,0.002106,0.002106,0.002106,225665.33,475.32
2017-01-13,0.0007291,0.002318,0.0007423,0.002194,226940.49,497.92
2017-01-14,0.002376,0.006623,0.00182,0.00182,46680.15,84.94
2017-01-15,0.005729,0.01806,0.001823,0.01805,68224.94,1231.41
2017-01-16,0.01724,0.01737,0.003897,0.006205,17988.3,111.62
2017-01-17,0.006205,0.01204,0.003203,0.00717,5006.18,35.9
2017-01-18,0.003392,0.0062,0.003288,0.0062,12706.15,78.78
2017-01-19,0.006837,0.01152,0.007018,0.008504,12208.92,103.83
2017-01-20,0.01073,0.03572,0.01071,0.03571,724079.56,25855.05
2017-01-21,0.01453,0.01679,0.01297,0.01678,7931.87,133.08
2017-01-22,0.01105,0.01562,0.009271,0.01376,14789.84,203.57
2017-01-23,0.01327,0.01331,0.0133,0.0133,1801.43,23.95
2017-01-24,0.01294,0.01255,0.01255,0.01255,23527.34,295.23
2017-01-25,0.005076,0.00508,0.00508,0.00508,19.66,0.09988
2017-01-26,0.01004,0.01027,0.01026,0.01027,52638.71,540.74
2017-01-27,0.01119,0.01122,0.01121,0.01121,4596.0,51.52
2017-01-28,0.0102,0.0102,0.0102,0.0102,3854.23,39.33
2017-01-29,0.0102,0.01016,0.005295,0.005295,3444.75,18.24
2017-01-30,0.007691,0.007743,0.007743,0.007743,501.19,3.881
2017-01-31,0.007154,0.007502,0.007502,0.007502,89772.5,673.46
2017-02-01,0.00643,0.006867,0.002633,0.002633,102991.29,271.17
2017-02-02,0.00226,0.002309,0.001918,0.001918,9979.12,19.14
2017-02-03,0.004458,0.005055,0.004498,0.005055,195616.55,988.84
2017-02-04,0.004498,0.004581,0.004581,0.004581,40982.44,187.76
2017-02-05,0.005077,0.004999,0.004999,0.004999,50000.0,249.96
2017-02-06,0.003851,0.003883,0.003883,0.003883,400000.0,1553.4
2017-02-07,0.003043,0.003117,0.003117,0.003117,196027.36,611.06
2017-02-08,0.002477,0.003251,0.002364,0.003156,22777.69,71.88
2017-02-09,0.003156,0.00371,0.002927,0.00371,90000.0,333.92
2017-02-10,0.002947,0.003003,0.003003,0.003003,80000.0,240.22
2017-02-11,0.003462,0.003499,0.003499,0.003499,100.0,0.3499
2017-02-12,0.002743,0.002711,0.002232,0.002232,208865.08,466.23
2017-02-13,0.00285,0.002847,0.002518,0.002518,88314.75,222.4
2017-02-14,0.002777,0.002813,0.002218,0.002218,112396.57,249.33
2017-02-15,0.002632,0.002631,0.002631,0.002631,160000.0,421.02
2017-02-16,0.002631,0.002693,0.002528,0.002528,42222.0,106.75
2017-02-17,0.002528,0.003358,0.002571,0.003358,15123.78,50.79
2017-02-18,0.003358,0.00724,0.003367,0.007187,132511.34,952.37
2017-02-19,0.007187,0.007164,0.002297,0.003954,146083.85,577.66
2017-02-20,0.003954,0.005388,0.002284,0.002284,246294.41,562.64
