# Dataset Report: Monero (XMR)
# Coin Name: Monero
# Symbol: XMR
# Approx Row Count: 4021
# Date Range: 2015-01-26 to 2026-01-28
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_XMR, Volume_USD
# --------------------------------------------------
Date,open,high,low,close,Volume_XMR,Volume_USD
2021-07-18,197.73,205.53,198.57,199.52,175765.77,35068948.12
2021-07-19,199.52,197.67,188.54,189.13,165845.85,31365816.8
2021-07-20,189.13,188.58,178.71,182.94,215871.6,39492560.14
2021-07-21,182.94,200.94,194.86,196.63,162682.06,31988065.87
2021-07-22,196.63,201.9,193.54,197.54,154162.4,30453789.09
2021-07-23,197.54,208.08,203.37,204.01,130039.97,26529972.46
2021-07-24,204.01,211.39,205.32,208.78,185460.95,38720683.73
2021-07-25,208.78,220.57,211.62,213.46,206968.13,44178905.31
2021-07-26,213.46,227.79,214.23,218.03,190103.72,41447685.21
2021-07-27,218.03,235.2,225.57,226.2,187324.96,42372445.81
2021-07-28,226.2,235.38,224.73,235.38,181392.85,42695606.68
2021-07-29,235.38,249.19,233.82,241.5,162171.65,39165122.78
2021-07-30,241.5,260.65,242.79,242.79,176817.52,42929665.49
2021-07-31,242.79,247.77,235.83,240.01,188088.68,45143954.93
2021-08-01,240.01,240.18,229.18,235.84,166948.24,39372329.23
2021-08-02,235.84,237.77,228.96,232.64,140965.0,32794214.14
2021-08-03,232.64,232.95,224.21,225.66,162146.27,36590020.31
2021-08-04,225.66,245.5,232.23,245.27,238180.37,58417640.07
2021-08-05,245.27,263.07,248.64,253.06,258373.88,65383305.0
2021-08-06,253.06,280.42,258.4,263.11,220410.67,57992777.11
2021-08-07,263.11,280.65,268.87,271.68,184581.16,50146780.38
2021-08-08,271.68,270.9,256.83,257.23,160181.52,41202701.85
2021-08-09,257.23,277.34,268.17,269.65,173884.04,46888605.74
2021-08-10,269.65,268.23,261.89,266.22,168165.83,44768907.67
2021-08-11,266.22,274.43,265.96,268.47,175612.27,47145848.9
2021-08-12,268.47,266.6,255.45,257.22,152668.81,39270045.47
2021-08-13,257.22,279.54,269.16,273.13,171095.92,46730749.43
2021-08-14,273.13,274.13,266.74,271.4,133054.47,36111235.54
2021-08-15,271.4,274.39,269.35,272.03,144387.54,39278353.1
2021-08-16,272.03,277.08,262.38,266.93,173851.09,46406079.94
2021-08-17,266.93,264.13,256.13,256.35,158132.02,40537866.77
2021-08-18,256.35,258.49,248.7,252.64,160309.69,40500183.36
2021-08-19,252.64,269.67,260.84,264.34,172828.23,45685881.47
2021-08-20,264.34,286.84,275.99,282.16,136852.99,38613776.95
2021-08-21,282.16,290.32,276.3,287.98,135007.72,38879301.51
2021-08-22,287.98,306.43,282.18,306.43,139928.4,42878837.11
2021-08-23,305.76,334.32,303.03,318.42,85408.18,27674447.73
2021-08-24,318.52,328.11,302.88,307.84,167248.71,51486250.25
2021-08-25,307.84,328.62,308.58,314.36,189575.09,59595045.02
2021-08-26,314.36,304.31,287.49,291.75,167250.78,48795210.01
2021-08-27,291.75,322.02,301.99,315.05,155677.94,49045934.25
2021-08-28,315.05,314.84,299.63,300.56,132509.0,39826603.13
2021-08-29,300.37,306.76,284.6,291.33,67277.66,19579617.15
2021-08-30,291.5,285.67,278.29,281.58,176299.62,49643136.95
2021-08-31,281.58,289.75,281.73,286.35,136105.19,38973860.9
2021-09-01,286.35,309.79,292.75,303.0,158918.81,48152943.26
2021-09-02,303.0,308.5,297.61,302.78,140178.31,42443336.01
2021-09-03,302.78,308.77,301.07,304.02,157934.67,48015074.39
2021-09-04,304.02,308.7,301.51,305.4,136905.19,41811424.63
2021-09-05,305.4,328.88,312.98,315.37,140798.51,44402997.35
2021-09-06,315.37,327.01,312.21,315.16,144526.75,45548869.43
2021-09-07,315.16,281.28,249.04,262.44,235502.1,61805687.42
2021-09-08,262.44,266.17,252.44,256.86,189635.29,48709622.69
2021-09-09,256.86,265.37,258.36,261.56,186031.82,48659020.15
2021-09-10,261.56,257.32,247.68,249.25,162350.48,40465642.3
2021-09-11,249.25,255.91,248.96,249.77,123361.46,30811824.54
2021-09-12,249.77,257.56,252.77,256.31,151361.37,38795847.7
2021-09-13,256.31,269.44,247.72,263.46,229558.62,60478862.45
2021-09-14,263.46,286.31,263.97,269.01,228187.89,61385369.45
2021-09-15,269.01,277.38,267.66,269.34,198792.06,53543136.37
2021-09-16,269.34,269.87,263.61,264.14,174123.91,45992657.6
2021-09-17,264.14,263.92,258.96,262.79,154203.94,40522879.74
2021-09-18,262.79,272.68,265.28,272.0,135863.35,36954715.69
2021-09-19,272.0,270.42,259.93,259.98,168946.92,43922682.32
2021-09-20,259.98,239.7,227.42,232.1,236660.81,54928491.74
2021-09-21,232.1,223.09,215.52,217.84,178276.24,38835164.16
2021-09-22,217.84,246.03,230.39,245.12,194322.18,47631445.11
2021-09-23,245.12,257.51,248.22,249.16,154356.17,38459534.35
2021-09-24,249.16,242.31,232.58,233.87,133556.72,31234458.92
2021-09-25,233.87,241.46,233.05,236.17,173715.37,41025788.88
2021-09-26,236.17,242.79,231.04,234.33,202818.89,47525842.44
2021-09-27,234.33,239.03,228.7,234.48,171930.53,40313957.86
2021-09-28,234.48,235.21,226.43,230.04,172370.21,39652248.98
2021-09-29,230.04,236.94,232.04,234.03,141137.42,33030834.79
2021-09-30,234.03,255.31,244.22,251.19,203517.29,51120683.33
2021-10-01,251.19,276.99,256.23,257.92,221525.08,57135769.51
2021-10-02,257.92,260.99,252.17,252.98,160797.03,40678350.5
2021-10-03,252.98,262.97,255.98,259.5,189460.31,49164796.79
2021-10-04,259.5,268.41,260.87,265.11,192768.49,51104811.17
2021-10-05,265.11,284.25,269.62,270.96,235315.71,63762077.68
2021-10-06,270.96,297.87,282.49,286.97,190241.44,54593249.74
2021-10-07,286.95,292.6,276.41,278.45,141336.0,39355625.28
