# Dataset Report: Ink (INK)
# Coin Name: Ink (Legacy 2017 Project)
# Symbol: INK
# Base Currency: BTC
# Date Range: 2017-12-01 to 2026-02-15
# Frequency: Daily
# Note: Creative industry project on Qtum. Not to be confused with Kraken's Ink L2.
# --------------------------------------------------
Date,open,high,low,close,Volume_INK,Volume_BTC
2018-09-10,3.23e-06,3.4e-06,2.83e-06,3.16e-06,62735.41,0.1922
2018-09-11,3.16e-06,3.39e-06,2.53e-06,3.07e-06,158595.55,0.4894
2018-09-12,3.07e-06,3.28e-06,2.37e-06,2.37e-06,48446.8,0.1501
2018-09-13,2.37e-06,3.36e-06,2.37e-06,2.8e-06,232218.33,0.7487
2018-09-14,2.8e-06,3.4e-06,2.79e-06,3.01e-06,26517.21,0.0886
2018-09-15,3.01e-06,3.2e-06,2.72e-06,3.2e-06,34156.45,0.1076
2018-09-16,3.2e-06,3.26e-06,2.3e-06,3.09e-06,48607.26,0.1485
2018-09-17,3.09e-06,3.09e-06,2.71e-06,2.71e-06,5142.27,0.01511
2018-09-18,2.71e-06,3.28e-06,2.7e-06,3.02e-06,9406.06,0.02791
2018-09-19,3.02e-06,3.13e-06,2.56e-06,2.59e-06,31799.05,0.09179
2018-09-20,2.59e-06,3.13e-06,2.5e-06,2.98e-06,26934.91,0.07668
2018-09-21,2.98e-06,4.37e-06,2.72e-06,3.28e-06,216868.67,0.8212
2018-09-22,3.28e-06,3.58e-06,3.16e-06,3.42e-06,70776.13,0.2431
2018-09-23,3.42e-06,3.84e-06,3.2e-06,3.45e-06,42826.73,0.1469
2018-09-24,3.45e-06,3.59e-06,3.2e-06,3.36e-06,23464.5,0.07788
2018-09-25,3.36e-06,3.72e-06,3.06e-06,3.34e-06,36030.48,0.1162
2018-09-26,3.34e-06,3.34e-06,2.53e-06,3.2e-06,38555.92,0.1198
2018-09-27,3.2e-06,3.48e-06,3.11e-06,3.25e-06,76031.03,0.2491
2018-09-28,3.25e-06,3.55e-06,3.09e-06,3.35e-06,54977.32,0.1758
2018-09-29,3.35e-06,3.6e-06,2.32e-06,3.35e-06,43827.64,0.1482
2018-09-30,3.35e-06,3.51e-06,3e-06,3.25e-06,252309.84,0.794
2018-10-01,3.25e-06,3.35e-06,3.14e-06,3.32e-06,60305.87,0.1975
2018-10-02,3.32e-06,3.36e-06,3.08e-06,3.31e-06,115379.0,0.3816
2018-10-03,3.31e-06,3.39e-06,3.16e-06,3.33e-06,83520.38,0.2774
2018-10-04,3.33e-06,4.47e-06,3.1e-06,3.6e-06,545971.79,2.056
2018-10-05,3.6e-06,3.64e-06,3.31e-06,3.37e-06,33968.87,0.1171
2018-10-06,3.37e-06,3.47e-06,3.06e-06,3.28e-06,196139.77,0.6276
2018-10-07,3.28e-06,3.78e-06,3.1e-06,3.39e-06,45875.4,0.1509
2018-10-08,3.39e-06,3.48e-06,3.22e-06,3.3e-06,67534.04,0.2235
2018-10-09,3.3e-06,3.44e-06,3.1e-06,3.2e-06,159457.52,0.4986
2018-10-10,3.2e-06,3.54e-06,2.22e-06,3.2e-06,460162.93,1.431
2018-10-11,3.2e-06,3.2e-06,2.89e-06,2.96e-06,104154.76,0.3142
2018-10-12,2.96e-06,3.13e-06,2.77e-06,2.89e-06,62491.35,0.1794
2018-10-13,2.89e-06,3.21e-06,2.85e-06,3.02e-06,259575.21,0.7833
2018-10-14,3.02e-06,3.07e-06,2.83e-06,2.98e-06,199922.66,0.5893
2018-10-15,2.98e-06,3.06e-06,2.68e-06,2.92e-06,206956.0,0.5869
2018-10-16,2.92e-06,3.01e-06,2.8e-06,2.95e-06,38934.25,0.1145
2018-10-17,2.95e-06,3e-06,2.8e-06,2.92e-06,61697.09,0.1751
2018-10-18,2.92e-06,3.41e-06,2.78e-06,2.82e-06,43012.87,0.1246
2018-10-19,2.82e-06,5.9e-06,2.73e-06,3.32e-06,663382.25,1.025
2018-10-20,3.32e-06,3.57e-06,2.75e-06,2.87e-06,264401.86,0.861
2018-10-21,2.87e-06,2.99e-06,2.76e-06,2.83e-06,138695.51,0.4035
2018-10-22,2.83e-06,2.98e-06,2.83e-06,2.91e-06,63353.65,0.1841
2018-10-23,2.91e-06,4.69e-06,2.49e-06,4.69e-06,388316.13,0.9352
2018-10-24,4.69e-06,4.69e-06,2.31e-06,2.88e-06,414495.15,0.8251
2018-10-25,2.88e-06,3.1e-06,2.78e-06,3.1e-06,190232.36,0.5851
2018-10-26,3.1e-06,3.1e-06,1.11e-06,2.66e-06,813292.66,1.441
2018-10-27,2.66e-06,2.83e-06,2.66e-06,2.67e-06,31358.48,0.08626
2018-10-28,2.67e-06,3.17e-06,2.67e-06,2.94e-06,295900.41,0.8671
2018-10-29,2.94e-06,3.14e-06,2.31e-06,2.77e-06,616230.2,1.853
2018-10-30,2.77e-06,3.14e-06,2.75e-06,2.78e-06,194752.13,0.5865
2018-10-31,2.78e-06,3.02e-06,2.75e-06,2.76e-06,69497.04,0.2
2018-11-01,2.76e-06,3.2e-06,2.7e-06,2.78e-06,91430.08,0.2852
2018-11-02,2.78e-06,3.27e-06,2.73e-06,2.76e-06,17345.4,0.04811
2018-11-03,2.76e-06,2.82e-06,2.74e-06,2.77e-06,33593.49,0.09343
2018-11-04,2.77e-06,3.2e-06,2.74e-06,2.83e-06,95918.68,0.2926
2018-11-05,2.83e-06,3.03e-06,2.77e-06,2.84e-06,206092.81,0.6059
2018-11-06,2.84e-06,3.12e-06,2.67e-06,3.12e-06,435364.36,1.308
2018-11-07,3.12e-06,3.12e-06,2.72e-06,2.75e-06,144561.47,0.3939
2018-11-08,2.75e-06,2.75e-06,2.61e-06,2.71e-06,99259.32,0.2695
2018-11-09,2.71e-06,4.96e-06,2.36e-06,2.72e-06,319776.49,0.9556
2018-11-10,2.72e-06,2.79e-06,2.61e-06,2.71e-06,423265.52,1.243
2018-11-11,2.71e-06,2.76e-06,2.54e-06,2.63e-06,487820.1,1.316
2018-11-12,2.63e-06,2.67e-06,2.43e-06,2.61e-06,281372.23,0.799
2018-11-13,2.61e-06,2.69e-06,2.51e-06,2.6e-06,485257.59,1.355
2018-11-14,2.6e-06,2.62e-06,8.7e-07,2.43e-06,2094923.43,2.222
2018-11-15,2.43e-06,2.56e-06,2.01e-06,2.4e-06,833743.46,2.196
2018-11-16,2.4e-06,2.66e-06,2.25e-06,2.4e-06,148496.36,0.3531
2018-11-17,2.4e-06,2.4e-06,2.03e-06,2.14e-06,635129.73,1.382
2018-11-18,2.14e-06,2.21e-06,2.03e-06,2.19e-06,222911.59,0.4944
2018-11-19,2.19e-06,2.2e-06,1.13e-06,1.93e-06,1662630.92,3.227
2018-11-20,1.94e-06,2.23e-06,1.8e-06,1.88e-06,615728.69,1.247
2018-11-21,1.88e-06,2.46e-06,1.61e-06,1.8e-06,883337.23,1.942
2018-11-22,1.75e-06,2.33e-06,1.75e-06,1.98e-06,512460.45,1.061
2018-11-23,1.98e-06,2e-06,1.71e-06,1.91e-06,388997.39,0.8175
2018-11-24,1.91e-06,2.09e-06,1.85e-06,1.93e-06,203894.28,0.3886
2018-11-25,1.93e-06,2.19e-06,1.72e-06,1.89e-06,460994.87,0.9031
2018-11-26,1.89e-06,1.89e-06,1.67e-06,1.85e-06,847681.24,1.844
2018-11-27,1.85e-06,1.87e-06,1.61e-06,1.75e-06,447593.03,0.8089
2018-11-28,1.75e-06,1.87e-06,1.64e-06,1.72e-06,494757.66,0.9879
2018-11-29,1.72e-06,2.33e-06,1.63e-06,1.76e-06,624378.99,1.156
2018-11-30,1.76e-06,1.88e-06,1.64e-06,1.79e-06,328203.49,0.566
2018-12-01,1.79e-06,1.87e-06,1.68e-06,1.81e-06,139231.18,0.2483
2018-12-02,1.81e-06,1.81e-06,1.52e-06,1.7e-06,215301.34,0.3749
2018-12-03,1.7e-06,2.66e-06,1.7e-06,1.76e-06,542142.69,0.9912
2018-12-04,1.76e-06,1.83e-06,1.69e-06,1.71e-06,189991.25,0.3297
2018-12-05,1.71e-06,1.78e-06,1.5e-06,1.68e-06,676344.21,1.25
2018-12-06,1.68e-06,1.69e-06,1.36e-06,1.6e-06,478426.81,0.8033
2018-12-07,1.6e-06,1.67e-06,1.35e-06,1.48e-06,342686.91,0.4952
2018-12-08,1.48e-06,1.62e-06,1.46e-06,1.59e-06,358446.46,0.5418
2018-12-09,1.59e-06,1.61e-06,1.37e-06,1.52e-06,552959.47,0.8601
2018-12-10,1.52e-06,1.55e-06,1.37e-06,1.52e-06,379567.06,0.5619
2018-12-11,1.52e-06,1.94e-06,1.41e-06,1.56e-06,654979.17,1.066
2018-12-12,1.56e-06,1.64e-06,1.46e-06,1.53e-06,312228.01,0.4908
2018-12-13,1.53e-06,1.58e-06,1.5e-06,1.57e-06,272322.29,0.4214
2018-12-14,1.57e-06,1.62e-06,1.5e-06,1.54e-06,485565.97,0.7557
2018-12-15,1.54e-06,1.61e-06,1.48e-06,1.55e-06,153051.82,0.2378
2018-12-16,1.55e-06,1.58e-06,1.46e-06,1.49e-06,260861.09,0.3992
2018-12-17,1.49e-06,1.53e-06,1.39e-06,1.51e-06,172767.08,0.2551
