coin_symbol,up_day_ratio,autocorrelation,trend_efficiency,risk_adjusted_momentum
SALT,0.42287581699346405,-0.12142792846588493,0.09750495909193287,0.45842145728691913
SC,0.4917603975935129,-0.11361918957917046,0.12804027051018618,0.9442188450403575
SHIB,0.47828673408685307,9.244642248216037e-05,0.11779898467382034,0.5555883328766851
SNT,0.4934982556295591,-0.05930342249292252,0.10621105020233357,0.5900973187204193
SNX,0.48843728100911005,-0.0658775847674855,0.11920678448019069,0.6688271078843723
SOL,0.49882019820670126,-0.043117545905392414,0.13806327413195055,1.2944347514396235
STEEM,0.4935933147632312,0.07759409436162094,0.11209094131310211,0.5842212312382014
STRAX,0.506336405529954,-0.01482540279246648,0.12389243497893093,0.7720258903145062
TEL,0.4623765747361253,-0.07274128361509538,0.1198015104301819,0.6884656032069554
THETA,0.49437052200614123,-0.08435611032168,0.11926822041264402,0.6131129758401791
