# Dataset Report: Livepeer (LPT)
# Coin Name: Livepeer
# Symbol: LPT
# Approx Row Count: 2595
# Date Range: 2019-01-03 to 2026-02-09
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_LPT, Volume_USD
# Note: Launched May 2018. Decentralized Video Streaming Network.
# --------------------------------------------------
Date,open,high,low,close,Volume_LPT,Volume_USD
2021-08-14,19.14,20.79,18.74,19.86,112302.62,2232062.64
2021-08-15,19.86,20.34,19.3,20.02,45572.9,902946.62
2021-08-16,20.02,20.81,19.16,19.4,80640.21,1603255.72
2021-08-17,19.4,20.05,18.35,18.37,53738.65,1034699.96
2021-08-18,18.37,19.17,17.53,18.41,58089.25,1063976.93
2021-08-19,18.41,23.74,17.76,21.04,180820.2,3692379.89
2021-08-20,21.04,24.2,20.7,21.78,339282.01,7751996.45
2021-08-21,21.78,22.76,21.39,22.22,49857.94,1097169.39
2021-08-22,22.22,22.95,20.95,21.79,31213.29,678289.34
2021-08-23,21.79,22.29,21.26,21.92,46522.89,1013491.94
2021-08-24,21.92,22.6,19.8,19.95,67090.11,1422103.03
2021-08-25,19.95,21.17,19.41,20.84,60921.75,1246275.43
2021-08-26,20.84,20.95,18.41,18.65,69896.78,1362810.66
2021-08-27,18.65,20.82,18.0,20.39,85448.19,1652772.8
2021-08-28,20.39,20.39,19.26,19.71,33567.26,660615.89
2021-08-29,19.71,20.81,18.9,20.64,54861.57,1098571.44
2021-08-30,20.64,20.87,19.04,19.4,70302.58,1390880.74
2021-08-31,19.4,21.97,19.08,20.33,141510.44,2906304.18
2021-09-01,20.33,21.33,20.07,20.99,36867.43,761377.17
2021-09-02,20.99,21.89,20.36,20.42,32489.86,687582.02
2021-09-03,20.42,21.35,20.05,20.86,54487.27,1126088.93
2021-09-04,20.86,21.75,20.44,20.53,46079.53,973022.42
2021-09-05,20.53,21.99,20.44,21.96,46690.59,998229.25
2021-09-06,21.96,23.19,21.06,22.55,127086.13,2831186.09
2021-09-07,22.55,24.71,18.53,19.41,314594.84,6817858.56
2021-09-08,19.41,19.93,17.11,18.81,333032.66,6285841.17
2021-09-09,18.81,19.85,17.63,18.74,1671986.33,31315375.46
2021-09-10,18.74,19.37,17.0,17.26,668033.88,12403100.82
2021-09-11,17.26,18.09,17.06,17.47,26912.1,471870.88
2021-09-12,17.47,19.34,17.28,18.59,42145.72,779080.04
2021-09-13,18.59,18.65,17.0,17.31,40662.41,708877.71
2021-09-14,17.31,18.48,17.2,18.33,51546.53,922950.06
2021-09-15,18.33,19.67,18.25,18.99,53578.3,1002068.43
2021-09-16,18.99,19.3,18.4,18.65,34179.1,642950.06
2021-09-17,18.65,19.11,18.07,18.96,49856.0,926245.34
2021-09-18,18.96,19.65,18.7,18.97,49127.6,939554.89
2021-09-19,18.97,19.09,17.95,18.16,41497.98,769569.69
2021-09-20,18.16,18.16,16.3,16.83,55132.43,933170.6
2021-09-21,16.83,17.35,15.45,15.73,49453.36,801835.16
2021-09-22,15.73,24.92,15.7,18.05,712447.42,13899452.31
2021-09-23,18.05,19.09,17.58,18.0,116232.13,2114647.39
2021-09-24,18.0,18.11,15.42,17.3,82587.27,1389702.12
2021-09-25,17.3,18.35,16.47,17.17,68280.59,1175549.9
2021-09-26,17.17,18.07,15.79,17.04,62272.17,1058387.87
2021-09-27,17.05,17.62,16.17,16.36,278053.13,4547864.14
2021-09-28,16.36,17.54,15.83,15.97,282714.6,4515260.69
2021-09-29,15.96,17.91,15.95,16.79,87609.86,1476181.33
2021-09-30,16.79,17.41,16.41,16.89,69530.61,1173109.38
2021-10-01,16.89,17.86,16.74,17.74,133553.74,2316723.75
2021-10-02,17.77,18.93,17.44,17.81,180039.07,3207200.29
2021-10-03,17.79,18.07,17.25,17.59,28650.64,506879.31
2021-10-04,17.59,17.84,17.03,17.39,45037.99,783568.14
2021-10-05,17.39,18.39,17.35,18.03,30121.49,538055.99
2021-10-06,18.03,18.35,17.03,17.86,39908.77,707889.41
2021-10-07,17.86,18.72,16.67,17.88,75656.06,1358926.11
2021-10-08,17.88,18.76,17.71,18.27,26163.2,475778.33
2021-10-09,18.27,19.33,18.06,18.26,45574.76,844851.85
2021-10-10,18.26,18.6,17.57,17.79,34847.51,626797.7
2021-10-11,17.79,18.31,17.52,17.84,16205.95,288271.52
2021-10-12,17.84,18.02,16.28,17.8,117140.83,2016671.63
2021-10-13,17.8,18.73,17.69,18.25,55938.68,1014375.45
2021-10-14,18.25,29.47,18.25,25.2,1117313.86,26521363.35
2021-10-15,25.2,29.28,21.01,21.79,1243410.17,30902495.43
2021-10-16,21.79,23.48,21.47,21.61,270747.26,6081447.68
