# Dataset Report: Siacoin (SC)
# Coin Name: Siacoin
# Symbol: SC
# Approx Row Count: 3824
# Date Range: 2015-08-25 to 2026-02-14
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_SC, Volume_USD
# Note: Launched June 2015. Decentralized cloud storage network.
# --------------------------------------------------
Date,open,high,low,close,Volume_SC,Volume_USD
2015-12-08,1.971e-05,2.053e-05,1.643e-05,1.643e-05,152350078.35,2502.62
2015-12-09,1.643e-05,1.664e-05,1.248e-05,1.664e-05,68047098.72,1132.3
2015-12-10,1.664e-05,1.662e-05,1.246e-05,1.662e-05,43544255.18,723.69
2015-12-11,1.662e-05,2.249e-05,1.349e-05,1.349e-05,54386263.59,733.94
2015-12-12,1.349e-05,1.729e-05,1.297e-05,1.729e-05,50516329.25,873.51
2015-12-13,1.729e-05,2.173e-05,1.739e-05,2.173e-05,130782508.33,2842.49
2015-12-14,2.173e-05,2.21e-05,1.768e-05,1.768e-05,52027560.9,919.85
2015-12-15,1.768e-05,1.851e-05,1.388e-05,1.388e-05,53171338.03,737.99
2015-12-16,1.388e-05,2.27e-05,1.362e-05,2.27e-05,156451278.2,3551.29
2015-12-17,2.27e-05,2.278e-05,1.367e-05,1.822e-05,15108265.03,275.29
2015-12-18,1.822e-05,2.316e-05,1.39e-05,1.853e-05,62774302.63,1163.03
2015-12-19,1.853e-05,2.306e-05,1.845e-05,1.845e-05,18944903.13,349.5
2015-12-20,1.845e-05,1.767e-05,1.325e-05,1.767e-05,45263852.83,799.87
2015-12-21,1.767e-05,2.188e-05,1.313e-05,1.75e-05,55786575.15,976.47
2015-12-22,1.75e-05,2.185e-05,1.311e-05,1.748e-05,35659719.54,623.37
2015-12-23,1.748e-05,2.212e-05,1.77e-05,1.77e-05,47388226.3,838.64
2015-12-24,1.77e-05,2.265e-05,1.812e-05,1.812e-05,28586439.53,517.96
2015-12-25,1.812e-05,2.27e-05,1.816e-05,1.816e-05,83555705.46,1517.54
2015-12-26,1.816e-05,2.077e-05,1.246e-05,1.661e-05,55421283.2,920.81
2015-12-27,1.661e-05,2.112e-05,1.69e-05,1.69e-05,56621957.47,956.66
2015-12-28,1.69e-05,1.687e-05,1.265e-05,1.265e-05,9417328.5,119.16
2015-12-29,1.265e-05,2.16e-05,1.296e-05,1.728e-05,109863837.98,1898.1
2015-12-30,1.728e-05,2.136e-05,1.709e-05,1.709e-05,56850068.09,971.34
2015-12-31,1.709e-05,1.72e-05,1.72e-05,1.72e-05,2400000.0,41.28
2016-01-01,1.72e-05,2.17e-05,1.736e-05,2.17e-05,49498829.54,1074.1
2016-01-04,2.153e-05,2.167e-05,1.3e-05,1.733e-05,134888759.3,2338.0
2016-01-05,1.733e-05,2.156e-05,1.294e-05,1.725e-05,167582782.44,2890.47
2016-01-06,1.725e-05,2.154e-05,1.723e-05,1.723e-05,142193189.74,2450.39
2016-01-07,1.723e-05,1.828e-05,1.371e-05,1.828e-05,34892385.05,637.9
2016-01-08,1.828e-05,1.811e-05,1.359e-05,1.811e-05,76673008.93,1388.92
2016-01-09,1.811e-05,2.69e-05,1.793e-05,2.242e-05,227103021.99,5090.63
2016-01-10,2.242e-05,3.57e-05,2.231e-05,2.231e-05,401885830.78,8965.87
2016-01-11,2.231e-05,2.686e-05,2.239e-05,2.686e-05,95215519.86,2557.79
2016-01-12,2.686e-05,2.67e-05,1.78e-05,2.225e-05,96043206.38,2137.15
2016-01-13,2.225e-05,2.593e-05,1.729e-05,2.161e-05,109245220.97,2360.68
2016-01-14,2.161e-05,2.575e-05,1.717e-05,2.146e-05,76744976.82,1646.68
2016-01-15,2.146e-05,2.234e-05,1.861e-05,1.861e-05,40906886.82,761.4
2016-01-16,1.861e-05,2.31e-05,1.925e-05,1.925e-05,21773280.55,419.18
2016-01-17,1.925e-05,2.295e-05,1.912e-05,1.912e-05,86479710.51,1653.79
2016-01-18,1.912e-05,2.306e-05,1.538e-05,1.922e-05,148213943.64,2848.67
2016-01-19,1.922e-05,2.277e-05,1.897e-05,1.897e-05,141584366.78,2686.28
2016-01-20,1.897e-05,2.487e-05,2.073e-05,2.073e-05,37635163.52,780.14
2016-01-21,2.073e-05,2.872e-05,2.051e-05,2.872e-05,186801786.17,5364.35
2016-01-22,2.872e-05,2.679e-05,2.296e-05,2.296e-05,164584371.41,3778.69
2016-01-23,2.296e-05,3.109e-05,2.332e-05,2.72e-05,73872280.16,2009.53
2016-01-24,2.72e-05,3.217e-05,2.413e-05,2.413e-05,45556217.78,1099.17
2016-01-25,2.413e-05,2.749e-05,1.964e-05,1.964e-05,190346348.35,3738.02
2016-01-26,1.964e-05,2.728e-05,1.949e-05,2.339e-05,40526903.12,947.79
2016-01-27,2.339e-05,2.765e-05,2.37e-05,2.37e-05,15032786.32,356.3
2016-01-28,2.37e-05,2.658e-05,2.278e-05,2.658e-05,150296058.13,3994.61
2016-01-29,2.658e-05,3.042e-05,2.282e-05,3.042e-05,415201691.25,12631.76
2016-01-30,3.042e-05,3.022e-05,2.267e-05,2.644e-05,107305181.05,2837.49
2016-01-31,2.644e-05,2.959e-05,2.219e-05,2.589e-05,65587512.14,1697.98
2016-02-01,2.589e-05,2.977e-05,2.233e-05,2.233e-05,52216768.11,1166.04
2016-02-02,2.233e-05,2.617e-05,2.244e-05,2.617e-05,10095374.34,264.24
2016-02-03,2.617e-05,2.576e-05,2.208e-05,2.576e-05,55302434.18,1424.67
2016-02-04,2.576e-05,3.516e-05,2.735e-05,3.125e-05,272315743.02,8510.41
2016-02-05,3.125e-05,3.478e-05,2.705e-05,3.092e-05,123186711.54,3808.54
2016-02-06,3.092e-05,3.39e-05,2.637e-05,3.013e-05,51370776.63,1548.03
2016-02-07,3.013e-05,3.401e-05,2.646e-05,3.024e-05,273751398.52,8276.93
2016-02-08,3.024e-05,7.453e-05,2.981e-05,5.589e-05,2198641042.66,122891.94
