# Dataset Report: Simple Token (OST)
# Coin Name: Simple Token
# Symbol: OST
# Approx Row Count: 2818
# Date Range: 2018-01-18 to 2026-02-15
# Frequency: Daily
# Note: Launched 2017. Tokenization infrastructure (OpenST). Now a legacy asset.
# --------------------------------------------------
Date,open,high,low,close,Volume_OST,Volume_USD
2021-04-20,0.03344,0.03439,0.02681,0.03163,1492411.98,47207.38
2021-04-21,0.03163,0.04366,0.03079,0.03331,958605.23,31931.14
2021-04-22,0.03331,0.03647,0.02879,0.0296,1564656.99,46313.85
2021-04-23,0.0296,0.03063,0.02402,0.02776,1579725.77,43849.6
2021-04-24,0.02776,0.02877,0.02603,0.02734,885747.97,24213.97
2021-04-25,0.02734,0.02916,0.02443,0.02625,1590375.81,41741.35
2021-04-26,0.02625,0.03389,0.02605,0.03089,1017244.74,31423.56
2021-04-27,0.03089,0.03915,0.03061,0.03323,1697618.38,56417.29
2021-04-28,0.03323,0.0357,0.03265,0.03463,834758.06,28911.51
2021-04-29,0.03463,0.03535,0.03272,0.03354,878556.33,29466.78
2021-04-30,0.03354,0.039,0.03277,0.03761,1113887.36,41893.3
2021-05-01,0.03761,0.03893,0.03548,0.03758,948416.86,35641.51
2021-05-02,0.03758,0.03827,0.03502,0.03524,1063619.94,37481.97
2021-05-03,0.03524,0.03788,0.03372,0.03676,1374199.35,50515.57
2021-05-04,0.03676,0.04204,0.034,0.03906,1819837.99,71081.09
2021-05-05,0.03906,0.05005,0.03539,0.03847,1351123.25,51975.59
2021-05-06,0.03847,0.04241,0.03607,0.0379,1159632.61,43947.59
2021-05-07,0.0379,0.04016,0.03627,0.03806,825553.84,31418.94
2021-05-08,0.03806,0.04635,0.03755,0.04312,1220530.67,52633.04
2021-05-09,0.04312,0.04854,0.0411,0.04668,805306.04,37588.97
2021-05-10,0.04668,0.04676,0.03554,0.0374,1199188.66,44846.49
2021-05-11,0.0374,0.05305,0.03554,0.03852,1649070.39,63519.68
2021-05-12,0.03852,0.04401,0.035,0.035,1435418.8,50234.63
2021-05-13,0.035,0.03661,0.03093,0.03259,1226950.09,39986.3
2021-05-14,0.03259,0.03943,0.03244,0.03621,872010.05,31572.14
2021-05-15,0.03621,0.04206,0.02389,0.03227,1223575.03,39487.51
2021-05-16,0.03227,0.03542,0.03006,0.03139,1098739.02,34492.34
2021-05-17,0.03139,0.03242,0.02807,0.02879,821780.43,23659.06
2021-05-18,0.02879,0.03244,0.02806,0.02953,844761.74,24945.39
2021-05-19,0.02953,0.02956,0.01722,0.01956,1530575.31,29936.58
2021-05-20,0.01956,0.0528,0.01734,0.0212,5449656.44,115545.36
2021-05-21,0.0212,0.02381,0.01563,0.01755,2355568.69,41328.5
2021-05-22,0.01755,0.02277,0.0154,0.0173,3420785.05,59195.11
2021-05-23,0.0173,0.01803,0.01202,0.01329,4184041.84,55591.36
2021-05-24,0.01329,0.02002,0.01215,0.01615,1462590.79,23615.18
2021-05-25,0.01615,0.01834,0.01503,0.01705,1854264.21,31609.7
2021-05-26,0.01705,0.03003,0.01698,0.0206,2685562.63,55324.15
2021-05-27,0.0206,0.02107,0.0182,0.01892,2025769.36,38325.33
2021-05-28,0.01892,0.01931,0.01527,0.01644,1715896.62,28209.34
2021-05-29,0.01644,0.01789,0.01492,0.01552,1634403.28,25365.94
2021-05-30,0.01552,0.01755,0.01493,0.01627,1127204.25,18335.95
2021-05-31,0.01627,0.01842,0.01493,0.01764,2178630.12,38431.04
