# Dataset Report: MediBloc (MED)
# Coin Name: MediBloc
# Symbol: MED
# Approx Row Count: 2940
# Date Range: 2018-01-17 to 2026-02-14
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_MED, Volume_USD
# Note: Launched late 2017. Decentralized healthcare data management on Panacea blockchain.
# --------------------------------------------------
Date,open,high,low,close,Volume_MED,Volume_USD
2018-07-04,0.004618,0.006073,0.004672,0.005139,1673889.8,8602.27
2018-07-05,0.005139,0.005611,0.004676,0.005611,1700084.52,9538.49
2018-07-06,0.005611,0.005639,0.005169,0.005169,521761.93,2697.11
2018-07-07,0.005169,0.00583,0.005344,0.005344,671320.03,3587.47
2018-07-08,0.005344,0.005834,0.005348,0.005348,955367.71,5109.39
2018-07-09,0.005348,0.005186,0.004715,0.005186,1519718.31,7881.68
2018-07-10,0.005186,0.005192,0.004327,0.004327,150934.22,653.08
2018-07-11,0.004327,0.005347,0.004456,0.004901,398180.1,1951.68
2018-07-12,0.004901,0.005171,0.004309,0.00474,243531.74,1154.34
2018-07-13,0.00474,0.004757,0.004325,0.004325,430969.68,1863.77
2018-07-14,0.004325,0.005205,0.003904,0.004337,5492075.14,23821.33
2018-07-15,0.004337,0.004946,0.004047,0.004496,3849464.56,17307.96
2018-07-16,0.004496,0.004788,0.00383,0.004309,2288547.06,9860.78
2018-07-17,0.004309,0.004991,0.003992,0.004492,2313735.75,10392.24
2018-07-18,0.004492,0.00479,0.004311,0.00479,3331252.54,15957.37
2018-07-19,0.00479,0.004687,0.004218,0.004218,1923206.38,8111.8
2018-07-20,0.004218,0.004488,0.00404,0.00404,1985285.02,8019.68
2018-07-21,0.00404,0.004149,0.003688,0.003688,1089244.71,4017.48
2018-07-22,0.003688,0.004119,0.003661,0.004119,1097361.09,4519.87
2018-07-23,0.004119,0.004047,0.003597,0.003597,42100.89,151.44
2018-07-24,0.003597,0.004315,0.003836,0.004315,354460.91,1529.58
2018-07-25,0.004314,0.004713,0.00377,0.004242,1249519.96,5299.86
2018-07-26,0.004242,0.00462,0.003696,0.00462,1336878.81,6176.78
2018-07-27,0.00462,0.005636,0.004227,0.005167,4395384.6,22709.15
2018-07-28,0.005167,0.005154,0.004217,0.004217,962985.32,4060.86
2018-07-29,0.004217,0.005128,0.004196,0.004662,136301.28,635.44
2018-07-30,0.004662,0.005022,0.004109,0.004566,2530744.4,11554.37
2018-07-31,0.004566,0.00432,0.003888,0.00432,1480208.01,6394.35
2018-08-01,0.00432,0.004619,0.004199,0.004199,2321489.95,9747.24
2018-08-02,0.004199,0.004519,0.003697,0.004108,1583523.74,6505.59
2018-08-03,0.004108,0.004176,0.003759,0.004176,4133430.68,17262.03
2018-08-04,0.004176,0.004069,0.003662,0.004069,740969.83,3015.08
2018-08-05,0.004069,0.004088,0.003679,0.004088,37182.73,152.01
2018-08-06,0.004088,0.004454,0.003645,0.003645,3472662.56,12656.29
2018-08-07,0.003645,0.004157,0.002646,0.004157,38710000.84,160930.63
2018-08-08,0.004157,0.004622,0.003556,0.004267,11757316.55,50166.59
2018-08-09,0.004267,0.004362,0.003635,0.003999,5952852.89,23803.14
2018-08-10,0.003999,0.003979,0.003647,0.003979,1288299.03,5125.94
2018-08-11,0.003979,0.004134,0.003498,0.004134,2284432.04,9444.14
2018-08-12,0.004134,0.004137,0.003818,0.003818,144094.39,550.21
2018-08-13,0.003819,0.004544,0.003408,0.003976,10658528.95,42382.79
2018-08-14,0.003976,0.004175,0.003618,0.004175,8146581.99,34009.13
2018-08-15,0.004175,0.004219,0.003656,0.003656,2410191.86,8811.95
2018-08-16,0.003656,0.004302,0.003728,0.004015,1856973.36,7456.12
