coin_symbol,volatility_baseline,volatility_skew,volatility_kurtosis,vol_of_vol,up_day_ratio,autocorrelation,trend_efficiency,risk_adjusted_momentum,max_drawdown,avg_drawdown_depth,avg_drawdown_duration,recovery_speed_ratio,log_avg_volume,volume_stability_cv,vol_return_correlation,crisis_liquidity_retention,btc_correlation,market_beta,downside_coupling,r_squared
AVAX,-0.12881771728166427,-0.6333522405298496,-0.48387793404801005,-0.2789796422105968,0.3471470263548526,0.8123376264192683,0.9363242262011101,0.07188596869241433,0.19455885631765338,0.5083094462964629,-0.5895041831373519,-0.43864078765511877,0.8549485334142993,-0.4862911075098054,0.8708705872741388,-0.5158762323254,1.0991238131262966,-0.09226223808939582,0.49100293506524845,1.166257888643252
BAT,-0.12880037980928227,-0.6489566122604086,-0.4880897001402947,-0.2829636783642543,0.5597896682670238,-0.09987991753307218,-0.9073161826482586,-0.4182306944947761,0.15841056450363084,0.3145759557495572,-0.3810263007358794,-0.24386041242542797,-0.20244257126951126,0.1164503080428259,0.3690881957525281,0.2695213957957048,0.984999051136463,-0.10847652309475707,0.960646353485505,0.991174450017278
BEAM,-0.12859807601049034,-0.661127523966787,-0.47891486648924614,-0.28746273676382933,-0.38442846395901636,0.039186118787625894,0.3194787006969448,-1.8609317927290032,-0.3904919422071348,-0.48330196127485514,-0.39001184426222985,-0.4469041975133481,0.24035411433499085,-0.39653415294067024,0.643900855169549,-0.2679657216956222,0.7187028842601371,-0.10047950591353183,0.6949381964361393,0.6079304719410547
BIX,-0.11127789943480376,-0.12095206249734564,-0.4020833989168521,0.19312072226342183,-3.5258016048323193,-0.9367669810338553,0.18610966946981444,3.6704882699054657,-0.3944474836727327,-1.0227043467006849,1.088368881330192,2.867903642759208,-0.1990430743244641,-0.358136280711402,-1.795259833453289,-0.8028126004445628,-1.9290946209555897,-0.1559351530082218,-1.7457161099287808,-1.2763199515828227
BNB,-0.12901597003256443,-0.570751649096165,-0.46583084796706137,-0.2159099586202634,0.9312833443143055,0.5918557498688871,0.5469683789417398,1.5767144142708611,1.4210789898191296,2.3112122684707597,-0.6617328417597498,-0.3354662131395128,0.9062205766204691,-0.30789602723660153,1.136383145875892,-0.04689094959399071,1.1183487107329242,-0.11250120624677948,1.4109788025024004,1.1963916248369386
BNT,9.547564957613613,3.737141612539159,4.461070356019041,2.5880434857879084,0.10354628393405965,0.7916411304564449,0.7215837594666473,-1.0963615143969128,-0.3830437543584982,-1.2380973565794784,1.5469501433374797,-0.21670920860553167,-0.3685574948019474,0.0439294794768335,-1.4500817296425277,-0.10354317400557088,-1.9543725066352062,9.331393146957758,-0.041200434115551306,-1.2774389297124933
BTC,-0.12862168932774037,0.9174828477521767,0.9359935701499358,-0.05853245355145301,1.0845464380504424,0.807785270553737,2.252164952100047,1.4227834812959927,0.23373292340891896,1.9360203418662394,-0.6857782429936821,-0.33078154318980996,1.8750850869780034,-0.4223070513071841,-1.326324111918642,-1.0223778229855855,3.262214440131977,-0.10793804169409757,3.299534288383438,5.714528412262569
CMT,-0.12553465601628472,0.014079514624503181,-0.22872454558750432,0.03375128817646164,-3.7507164934725967,-0.9507261649851687,-0.3244642604959543,1.1057977504488044,-0.3857297030371737,-0.9051995032548159,-0.4978591050005325,-0.44719931929399914,-0.503986449509001,-0.06227252335808331,-0.25011957928655765,0.48092978401528363,-1.190515923568851,-0.12717251720733394,-1.0951067337715092,-1.1027745185384301
COTI,-0.12848128228785366,-0.6521326611951349,-0.4889763584630697,-0.2874167199372269,0.1880068614117877,0.04376560788911521,0.2526234927096042,-0.6221483221444921,-0.2351005317245758,0.1796941973370457,-0.5126730384836585,-0.3654505860536592,0.40844680867950406,-0.26000777594938757,0.9111521946605535,0.28793114541540793,0.6767729945359018,-0.09671653415849717,0.5279263381321254,0.550813053022603
CRO,-0.12908618379058018,-0.6023694257424442,-0.4735650274055808,-0.25187698795732005,0.42573331781216467,0.26435298558624076,1.9526376667799212,-0.5848964459254015,0.10493546892973046,0.663339841982259,-0.6104961117064447,-0.415031045203035,0.3692188376969811,-0.025477640401383114,0.424125912208236,0.43960036467490965,1.1324992552566249,-0.109576059480782,0.7938728534456376,1.2186895632731343
CVC,-0.12795829753615467,-0.2556312011002811,-0.349412433581088,-0.20055926397469084,0.5068746652456172,1.013885810611729,-0.3680646809123977,-0.14471475564580769,-0.3062761217428732,-0.6268485468295976,0.6258456600506351,0.0170272416700973,-0.49941295192592833,-0.3317823410461227,0.35160319769770243,-0.2639145877230635,0.11096559523398036,-0.10686663072165412,0.19150826580827696,-0.1340879026730349
DAI,-0.12893485323410755,2.8121167409655965,3.0189289831056874,1.3493451749281722,-2.5458515215102917,-1.8944069845368212,-4.465178481839623,-1.2549721692482005,1.7399384976683292,0.17658894891803475,0.5294866556173942,-0.452806633126369,-0.03924703866731099,-0.229991851663679,-1.4906022264911307,-1.4560254960620307,-1.810415395466517,-0.177079582559593,-2.018609946389038,-1.2668009837516148
DASH,-0.12465081283252764,1.4345223987306681,0.9566392335178828,0.20946340320134732,0.38103356807451005,-0.24317408631689771,0.40705764619075463,0.4261923590924378,-0.282449272044637,-0.15202421325927182,-0.5960490869449603,-0.42464358320138346,0.5179403408208448,-0.3819555167795837,-1.2026909102284182,-0.674300915364846,0.03462913662344073,-0.09577309330461167,-1.311734735708902,-0.2142538626882121
DBC,-0.1281175209935377,-0.6246807151019791,-0.4729298426174072,-0.24699075190527864,-0.15349518394550615,-0.2992502335433429,0.5943928506573096,-1.045878883732889,-0.3948860873594565,-1.2763114318899351,3.130303784365508,3.044976711149836,-1.050611422941827,-0.1202782813008474,0.6483659529834148,0.9169573035873578,0.02267965106397291,-0.11155604103579489,0.11555327908304143,-0.22653942206659153
DCR,-0.125002930082008,2.2045605881744565,2.163776705675204,0.2262223154132725,0.2590976075654909,4.713750902780521,0.012581770008174833,0.06751626487628304,-0.04504876784326083,0.42558093163482275,-0.6361203784289016,-0.40417056367507653,-0.308899516869637,-0.24224144295407143,-1.168991499959225,-0.3947699339920519,-1.065095760751363,-0.11065982985181273,0.18640596500358375,-1.0462503035977795
DENT,-0.12632996004322197,-0.5214711516012231,-0.47483054662876284,-0.1905766345672014,0.2231845072510361,-2.720464161109864,-0.776399014068292,0.6997300823335909,-0.3902525407551379,-1.2059747835837193,1.1875748563489605,3.043796224027232,-0.6939732665717236,-0.168940416925526,-0.8536518457626441,-1.0588395404357138,-0.38042011962602645,-0.08488398184480035,-0.5292614742767483,-0.5992063664311436
DGB,-0.12794067453112254,-0.28937279424634327,-0.3552934220122376,-0.20704674931519834,-0.09169477815364174,0.4084920357171858,-0.8081285096396484,0.721392085458174,-0.19139719339235986,-0.017345287848363238,-0.4959045501946991,-0.3951988615432847,-0.4772090946174351,0.6057739529987679,0.7307014308081502,4.049437018781703,-0.03891025295866643,-0.1092270515181757,0.1972615273978015,-0.28873072910489556
DOT,-0.12907012539752774,-0.6384546786481626,-0.48517169787189285,-0.28066726832622935,0.2355604573163827,0.4525970457953951,0.4297277762432825,-0.8555994775004874,-0.14575916268301975,0.26460923574315015,-0.614995519764691,-0.42329445506126434,0.7790357470928223,-0.43489599404518264,0.7826926207556837,-0.4228769171558639,1.3845481694886472,-0.09676695153032856,1.1636544739017312,1.6326105869328313
DRGN,-0.12584028966163147,0.6745411649354472,0.3003684870257608,-0.09554009088325839,-0.04222986121873985,-0.9335597579456983,-0.19227596771783992,0.09657070110544164,-0.38942816992223533,-1.1528078533122403,-0.19802382785357545,-0.4510359024424627,-1.26417563451176,-0.08594451001923537,-0.2820699733614116,0.563136119434777,-0.9729227211713455,-0.1147830221016981,-1.2207048186515674,-0.9997026093279417
ELF,-0.1286977464709156,-0.42949587267836387,-0.3950395167638191,-0.2290933106237031,0.6365615946145677,-0.15391638527167675,0.6688040848163593,-1.1857104220567134,-0.2375251473426906,-0.5935844437536302,1.186260869924871,3.043796224027232,-0.4112926341684873,-0.1616723937932724,0.8579549084557997,0.5852906774750434,0.5214512279303639,-0.1124104734445504,0.6617106975391726,0.34688078292427205
ENJ,-0.12816200797771723,-0.47211488094316206,-0.4481987260758249,-0.2220974328795334,0.4711834470105925,-0.7411689271138645,0.3542577335311796,0.11804477750087138,-0.3573023976199038,-0.005461746715615791,-0.5793785241177762,-0.37543106809022186,0.07773529983700528,-0.07625212233513654,-0.4075033744913968,0.025299149324151143,0.5655778398361387,-0.09543744918740037,0.5158483323549463,0.40359254209624756
ERG,-0.12814420247620564,-0.25415184704850297,-0.2910035034972652,-0.18062489656650335,-0.9037379864624694,-0.05975061500740053,0.6747926486610756,-0.22092695688001993,-0.3286287729366928,-0.5280603565959833,-0.5034659447987787,-0.39909446904787854,-0.6912693874746434,-0.37104189438092106,-0.9659431511350497,-0.814513072172027,-0.16538124284706526,-0.10977275461424105,-0.541382998661034,-0.4104986667899468
ETC,-0.1282792919466164,0.4987487139715491,0.34318556361366626,-0.2559043896848038,0.14813006019670885,-0.4019722180823174,0.13268437561437613,0.07254750306032598,0.25184452608412444,0.3077191137821598,-0.5317106802511421,-0.3537530318387631,0.6302378153587961,-0.12407014220908492,0.03912276113623594,0.26352656395070584,0.19780567900586354,-0.11224463935912533,0.7058243193644442,-0.039353631416445115
ETH,-0.1290493177210326,-0.7090482648473942,-0.48090749138961797,-0.27804845710538084,0.6198253370672816,0.7708286207359866,1.212042360270573,1.4636776477112186,0.15592910970022056,1.586909087036006,-0.6441680555677357,-0.28077746425959527,1.8519493877531696,-0.4920731314750646,-0.7724749167762365,-0.9603662434434665,1.118001044124579,-0.11325146266631075,0.8818225618265279,1.1958450422516247
ETN,1.4429509069033528,3.4174786868313882,3.775537369544554,8.923552006937625,-0.2347095358599065,0.39190196554187884,-1.0011104464542915,-1.0131834346639312,-0.38085670541107125,-1.0458713037831961,0.23493469888396426,-0.4433627361455355,-0.8766636005774882,0.3038283883542766,-1.2743637035573814,0.834030530732479,-1.9149847386236405,2.170531419527677,-1.0219960404383557,-1.2755565976170342
EVX,-0.12299096101565223,0.6164956957226752,0.12940464437238539,0.0856386315283385,-3.175478351963788,-0.8254555568946549,-0.39293478906613205,0.6190588757054751,-0.3981341514932421,-1.0505475959559227,1.185603876712826,3.0414352497820234,-2.4884973762266562,0.04629755660652664,-1.2847720682497703,-0.9234982552760571,-1.5286649521284519,-0.13023948907424931,-1.3300208512872125,-1.2160354300496474
FET,-0.12851394941773672,-0.6813592215986877,-0.49354279401671863,-0.3039527580429232,0.15200238303098781,0.28084677770476213,1.366143381842643,-0.23339183237350408,-0.19411528299698105,0.5487672324062642,-0.5037783611513594,-0.3194115882720959,0.3346577713751832,-0.4000965323500634,-0.011611797669904588,-0.6861017155370223,0.6405080986357801,-0.09961304349023105,0.558927552599387,0.5021205290744752
FIRO,-0.12819337495013153,-0.23221691367596314,-0.30688514776108644,-0.18303233544980116,0.3280895061009488,0.5179466082781901,-0.8258850546488194,-0.4722850689499579,-0.25208209881738847,-0.31022201826950235,-0.6225144420803151,-0.44985541531985856,-0.6922392936808623,-0.18708972422542164,1.4530694130701292,0.7880960443481705,0.1641482097580222,-0.09881280823009031,0.3340153413112504,-0.07651761987992
