coin_symbol,btc_correlation,market_beta,downside_coupling,r_squared
ENJ,0.49048948281368215,1.1680152168124907,0.474312684352778,0.2405799327508334
ERG,0.35237990578758316,0.9753403937532213,0.27465902039822176,0.12417159800286598
ETC,0.4210015199747864,0.9421168284602387,0.5101888457538784,0.17724227982108048
ETH,0.5948659614581712,0.9285845389981193,0.5434253692338907,0.35386551210155437
ETN,0.02180463216476135,31.623951650509447,0.18389728082418325,0.0004754419838405453
EVX,0.09479703840699565,0.700255606700154,0.12572809847902444,0.008986478490737408
FET,0.5046470281461609,1.1118928064759221,0.4824480128374556,0.25466862301675214
FIRO,0.4146421779107616,1.1226484327121597,0.4399742932886362,0.17192813570257964
FUN,-0.027865916047601243,-16.85724940125175,-0.0854156892193344,0.0007765092771719605
GNO,0.5899836276537824,0.9163656681166074,0.5947964344928428,0.348080680899517
GT,0.49040228532380986,0.7246965934593897,0.5620942170499736,0.2404944014508154
HBAR,0.49846919212427954,1.051965136341261,0.4978485249898363,0.2484715354970319
HT,0.40524313888420616,0.6307096363810325,0.42643365751663675,0.164222001612724
ICP,0.6117165996511739,1.2396902720057648,0.5418684108030221,0.37419719828879455
IOST,0.5177610100159064,1.173351722744029,0.5503001980529874,0.2680764634926915
KCS,0.5302449862323505,0.9141820955678378,0.5216492554628069,0.2811597454245456
KDA,0.17108328269632586,0.9859057788387722,0.0914647551344355,0.029269489618150953
KEY,0.15226844245364646,0.795407609949251,0.09568867879025011,0.023185678567259442
LEO,0.06923986056942412,0.0917178210533373,0.06689331593086818,0.004794158291673293
LINK,0.5326271786632575,0.9824986304486223,0.5157502634959137,0.2836917114507816
LPT,0.4245867350141644,1.1527294914448947,0.42748274602795133,0.18027389554998824
LRC,0.42148192255088435,1.052543577242689,0.3929737223223213,0.17764701103718966
LTC,0.2432873052915126,0.2916401799735168,0.11228648161199091,0.05918871291600566
MANA,0.3340492008863029,1.0685588256987295,0.24482334339866593,0.11158886861277756
MED,0.25359160761360455,0.7824439826698855,0.2651867825292132,0.06430870345205238
NEAR,0.5722552082034066,1.2081054855973283,0.43680793673412766,0.32747602331592424
NEO,0.49251770694477354,1.0581638937398323,0.4934922216066195,0.24257369165413784
NMR,0.35300940268742503,0.9266964547307583,0.35317070360521163,0.1246156383857326
OKB,0.4436553254353794,0.8485677520597683,0.46508195314068773,0.1968300477871724
ONGAS,0.3260770498492765,1.0393919649114065,0.40935957629961756,0.10632624243840755
OST,0.041177168346489844,0.7630351057292883,0.3345111770967906,0.0016955591930351652
POWR,0.4855530986145012,0.9592428229046573,0.47451085187502695,0.23576181157414353
QNT,0.4514929244629186,0.905305632445565,0.41785463044574256,0.20384586084007872
QRL,0.23807376731639857,0.9652972243137394,0.1816606552436543,0.056679118684222686
REQ,0.3239125950261438,0.8901311770470453,0.34726267223162544,0.10491936921657062
RNDR,0.3137113214283046,1.3315659206083446,0.3575155288982382,0.09841479319229304
RVN,0.49499881244432997,1.065937477657026,0.4625744984696032,0.24502382432129696
SALT,0.2818528880554219,0.8225743708146818,0.28384161743092035,0.0794410505051822
SC,0.40037212239820114,0.9934909450267047,0.43385681065562615,0.16029783639364015
SHIB,0.552942100890992,1.177500620618474,0.454487836820386,0.30574496693774406
